S.No.,Country,Year_2008-2009_Value,Year_2008-2009_Share,Year_2009-2010_Value,Year_2009-2010_Share,Year_2010-2011_Value,Year_2010-2011_Share,Year_2011-2012_Value,Year_2011-2012_Share,Year_2012-2013_Value,Year_2012-2013_Share,Year_2013-2014_Value,Year_2013-2014_Share,Year_2014-2015_Value,Year_2014-2015_Share,Year_2015-2016_Value,Year_2015-2016_Share,Year_2016-2017_Value,Year_2016-2017_Share,Year_2017-2018_Value,Year_2017-2018_Share,Year_2018-2019_Value,Year_2018-2019_Share,Year_2019-2020_Value,Year_2019-2020_Share,Year_2020-2021_Value,Year_2020-2021_Share,Year_2021-2022_Value,Year_2021-2022_Share,Year_2022-2023_Value,Year_2022-2023_Share,Year_2023-2024_Value,Year_2023-2024_Share,Year_2024-2025_Value,Year_2024-2025_Share
110,KIRIBATI REP,980.0,0.0012,155.9,0.0002,149099.56,0.1311,588.93,0.0004,193.93,0.0001,579.09,0.0003,2514812.7,1.3261,1977751.39,1.1523,30064.1,0.0163,37218.74,0.019,3287796.88,1.4247,3433765.43,1.5468,779650.6,0.3611,926387.69,0.2944,5327534.58,1.4711,5311498.92,1.4676,296759.97,0.4744
111,KOREA DP RP,403661.57,0.4801,199342.66,0.2358,1695280.67,1.4911,110707.74,0.0755,109939.39,0.0673,114325.51,0.06,616.12,0.0003,614.71,0.0004,2843671.65,1.5376,2875143.99,1.4695,931939.98,0.4038,911191.14,0.4105,28605.3,0.0132,24514.12,0.0078,1255482.91,0.3467,1743093.2,0.4816,6147.78,0.0098
112,KOREA RP,1835359.19,2.183,1612681.15,1.9073,844710.02,0.743,2076775.91,1.4167,2287024.72,1.3994,2547092.3,1.337,46805.92,0.0247,72975.63,0.0425,1004665.91,0.5432,880376.02,0.45,20958.62,0.0091,20641.07,0.0093,20338.31,0.0094,10910.88,0.0035,42211.78,0.0117,37847.12,0.0105,1955.45,0.0031
113,KUWAIT,362840.57,0.4316,371037.53,0.4388,11724.66,0.0103,566532.27,0.3865,577829.97,0.3536,643494.47,0.3378,2808473.91,1.481,2304348.38,1.3426,20383.89,0.011,18426.67,0.0094,27505.28,0.0119,17737.65,0.008,76675.76,0.0355,98953.03,0.0314,13660.06,0.0038,10659.24,0.0029,30537.9,0.0488
114,KYRGHYZSTAN,10385.08,0.0124,12691.45,0.015,5943.51,0.0052,14665.64,0.01,19037.86,0.0116,20820.29,0.0109,733290.57,0.3867,816058.94,0.4755,17221.47,0.0093,16116.36,0.0082,81019.65,0.0351,84444.2,0.038,140718.83,0.0652,233794.5,0.0743,151126.24,0.0417,182514.03,0.0504,45416.25,0.0726
115,LAO PD RP,4445.31,0.0053,8120.26,0.0096,47109.61,0.0414,7320.34,0.005,15712.71,0.0096,30499.48,0.016,23053.51,0.0122,16358.34,0.0095,77575.08,0.0419,72290.66,0.0369,187778.4,0.0814,144156.33,0.0649,29531.48,0.0137,8156.82,0.0026,322899.86,0.0892,285446.95,0.0789,1153.14,0.0018
116,LATVIA,20389.3,0.0243,22199.04,0.0263,80295.5,0.0706,46042.07,0.0314,56673.98,0.0347,61732.5,0.0324,41293.77,0.0218,24612.33,0.0143,141206.46,0.0764,165705.11,0.0847,21343.05,0.0092,28794.91,0.013,167157.42,0.0774,184385.38,0.0586,11931.34,0.0033,4609.05,0.0013,66714.67,0.1066
117,LEBANON,61349.66,0.073,62368.92,0.0738,8447.56,0.0074,112040.3,0.0764,136514.9,0.0835,177569.15,0.0932,59963.95,0.0316,51871.24,0.0302,22232.62,0.012,20334.12,0.0104,124880.27,0.0541,154913.93,0.0698,113959.62,0.0528,178919.28,0.0569,208198.54,0.0575,201540.79,0.0557,126029.81,0.2015
118,LESOTHO,15730.64,0.0187,6779.36,0.008,20045.74,0.0176,10132.99,0.0069,10002.71,0.0061,18858.44,0.0099,170847.34,0.0901,157070.28,0.0915,97883.9,0.0529,165815.96,0.0848,110013.84,0.0477,130689.79,0.0589,2791.01,0.0013,1457.72,0.0005,272968.23,0.0754,468320.53,0.1294,226.91,0.0004
119,LIBERIA,13483.02,0.016,13993.12,0.0165,60130.48,0.0529,38003.14,0.0259,69323.17,0.0424,154578.39,0.0811,23436.29,0.0124,19620.37,0.0114,80457.47,0.0435,78655.52,0.0402,2373.48,0.001,3080.85,0.0014,120706.59,0.0559,247049.71,0.0785,241.91,0.0001,730.23,0.0002,41926.47,0.067
